title,artist,album,language_id,scaled_vectorized_features_str
200%,Gibbs,Czarno na białym,9.0,"4.755518118139018,2.9212046615604423,-2.806040803178952,2.132517051367893,1.8839340911808562,0.0,2.536568205917971,5.196191458522305,1.246457792246624"
2000 angels,Ben Khan,2000 angels,-2.0,"3.9553420189172686,2.7860084127609506,-2.0875925912287285,2.782427009880013,1.7280939549618515,0.042856011013098466,0.7235318928986583,5.645505087727684,-0.2769906204992498"
2010 Freestyle,Bloody Hawk,2010 Freestyle,-2.0,"5.354023818369921,3.133655909673929,-2.409483937922362,2.2442203254871638,0.5090777783154151,0.0,2.456643171237305,4.887000629856138,-0.2769906204992498"
2017,Rasmus Seebach,2017,-2.0,"4.1895399016163175,4.070372776356121,-1.2720792051466618,3.564349928714907,0.8138318224770241,0.0,3.6975844991739577,6.763383726673539,-0.2769906204992498"
20B13,Dollypran,20B13,-2.0,"5.653276668485372,2.2500518550201094,-2.748797238947352,4.254879259634034,0.21575201080986642,7.100101943767207E-5,2.292586521103307,4.8867913872470705,-0.2769906204992498"
210,Strat,210,-2.0,"4.924661033421665,2.882577161903445,-2.8851309450641573,2.7722721667782615,0.567950718664817,0.007253341554064341,1.4134111396159839,4.952179702580825,-0.2769906204992498"
22 Indeni,Rasmus Seebach,Tak For Turen,-2.0,"3.382858305652927,2.9501752863031907,-1.3439793341332125,3.7674467907499447,0.4502048379660134,0.0,2.6585590483253028,5.941304389413498,-0.2769906204992498"
22:23,Don Patricio,22:23,-2.0,"5.0222434845462685,3.964147152299377,-1.3519989639047891,3.3104788511711103,0.1246721089752037,0.0011799449992879315,2.31361942496664,6.1314361735199645,-0.2769906204992498"
23h28,Mélodie Lauret,23h28,-2.0,"3.922814535209067,2.7956652876752,-2.665005934782257,2.4980914030309607,1.956659488083058,8.530338306540457E-5,0.7235318928986583,5.4482241811447265,-0.2769906204992498"
24.12.17,Freescoot,24.12.17,-2.0,"3.636572678576897,2.8874055993605694,-2.6912771357581113,2.5082462461327126,1.68307347116525,0.0,1.1610162932559869,5.9291683180875525,-0.2769906204992498"
25 Lightere (feat. Lord Siva),TopGunn,1991,-2.0,"5.106814942187592,2.607356226847337,-2.566558065862211,2.9042851271010353,0.3809425552020113,8.530338306540457E-6,1.842482378427979,5.160550467444388,-0.2769906204992498"
26.04,Noize MC,26.04,-2.0,"4.456265268023568,3.6985830921575187,-1.7811874261629672,2.812891539185269,0.7030121700546209,0.0,2.6543524675526364,5.682541029532722,-0.2769906204992498"
2DIE4,"Hypnosis Mic -D.R.B.- (MAD TRIGGER CREW), ヒプノシスマイク -D.R.B- (毒島メイソン理鶯)",MAD TRIGGER CREW -Before The 2nd D.R.B-,0.0,"4.924661033421665,3.659955592500521,-2.25545173851656,3.19877557705184,1.239794861475637,0.0,2.2252812287406414,5.715880351910892,0.0"
2naamaa,Sexmane,Sextape,8.0,"4.176528908133037,2.2500518550201094,-3.120189059058649,2.3356139134029306,0.6926228276400206,0.0,0.7824240237159911,5.711137519438683,1.107962481996999"
3 Nagetiere,"Kreiml & Samurai, Voodoo Jürgens",3 Nagetiere,-2.0,"4.456265268023568,2.7184102883612047,-2.3071645235953477,2.2442203254871638,0.05783400610794172,2.7327730502988887E-4,1.8004165707013127,4.642744757537413,-0.2769906204992498"
3 Peg,"Sharry Mann, Mista Baaz",3 Peg,-2.0,"4.4887927517317685,4.4711330852974704,-0.06166818755384904,2.5691753047432235,0.4848359793480145,0.0,3.3274053911792953,5.85624726882735,-0.2769906204992498"
"30,6k",KC Rebell,Hasso,-2.0,"5.204397393312195,3.0467440354456845,-2.2266916869219395,2.9347496564062907,0.1849302949798855,0.0,2.444023428919305,5.301475364651694,-0.2769906204992498"
35 Pa Las 12,"Fuego, J Balvin",Energía,1.0,"4.5668587126314515,3.0129449732458116,-0.9559951765634804,1.817716915213585,1.5618644763282465,0.003452999218695418,2.7973762138233016,5.1937502947498455,0.1384953102496249"
39N,ibe,IBELIUS,-2.0,"5.438595276011244,2.6652974763328334,-2.692936369503955,2.0715879927573817,0.47444663693341416,2.5335615569126147E-4,2.8310288600046345,5.78817367334389,-0.2769906204992498"
3aseer Asab,Shahyn,3aseer Asab,-2.0,"3.3178033382365246,2.674954351247083,-2.8350773937312126,3.7572919476481927,0.6510654579816193,3.994445841745292E-4,1.1105373239839873,5.122224196216763,-0.2769906204992498"
3ayni Fel Goal,Loun,L&M,-2.0,"5.360529315111561,2.6025277893902126,-2.35611191909773,2.9347496564062907,0.24311061250164723,0.0,0.8665556391693233,4.81104556276445,-0.2769906204992498"
3itter5weet,"OPIUM, Pyhimys, Juulia",Extended Virtual Reality Play (Vol. 1),0.0,"3.643078175318537,3.7082399670717683,-1.2925430880120647,2.2543751685889157,0.16622947863360493,0.0,3.096043448682631,4.646197260587035,0.0"
4 AM,"Dexter Seamus, Allday",4 AM,-2.0,"4.1635179146497565,2.414218728562349,-2.386531204438194,2.0817428358591337,0.6510654579816193,1.1135411681591735E-4,2.7174511791426355,4.529300389654373,-0.2769906204992498"
4 Matic,Eva,Feed,-2.0,"4.703474144205896,2.7860084127609506,-2.133774597154705,2.2645300116906677,1.5480120197754461,0.008887897397233769,1.7877968283833128,5.0530346401516075,-0.2769906204992498"
4 Nothin,"melvitto, Gabzy",Summers,0.0,"3.948836522175628,1.245736863938172,-2.401740847108426,5.04695702157068,2.7046921419342804,0.006895782463371029,2.7426906637786352,7.041083542674969,0.0"
4 minutes,D.ACE,4 minutes,-2.0,"4.80756209207214,4.007603089413499,-1.9410269436792218,2.010658934146871,0.4432786096896132,0.0,2.5954603367353037,4.881664943324905,-0.2769906204992498"
4/5 Vliegtuigjes,Ella en Sam,4/5 Vliegtuigjes,-2.0,"4.859606066005262,2.8053221625894493,-2.9644976259070037,2.812891539185269,1.374856312865441,0.0,2.7048314368246356,5.577954598766894,-0.2769906204992498"
