title,artist,album,language_id,scaled_vectorized_features_str
4 da manhã,UM44K,4 da manhã,21.0,"5.165364412862354,2.288679354677107,-1.9338369307805667,0.39299242803779744,2.285655331212068,0.0,3.605039722175292,3.9048506966590675,2.9084015152421228"
4 e 15 - Ao Vivo,Marília Mendonça,Marília Mendonça - Ao Vivo,21.0,"4.6449246735311345,4.384221211069226,-0.9283412807994227,0.8743319910608361,2.0432373415380605,1.6754197392486646E-5,3.78171611462729,5.578163841375962,2.9084015152421228"
40-Cı Paralel,"Orkhan Zeynalli, Roya Miriyeva",40-Cı Paralel,14.0,"3.8057155938595426,3.853093090785509,-2.006566676640039,0.9433849241527489,0.8276842790298246,0.0,3.1381092564092974,5.997416282411902,1.9389343434947484"
450蚊 (feat. 肥媽),Justin Lo,450蚊 (feat. 肥媽),16.0,"5.132836929154153,3.7661812165572646,-1.2695903545278968,0.7514583895296385,0.04848359793480144,0.0,3.1465224179546305,4.186386627160078,2.215924963993998"
5 fine frøkner,Gabrielle,5 fine frøkner,25.0,"5.06127646499611,3.6309849677577732,-1.5665931950338783,0.4559524552686591,0.4952253217626147,6.180664281984402E-5,1.632153339794648,4.185375287882916,3.462382756240622"
50 Reais,"Naiara Azevedo, Maiara & Maraisa",50 Reais,21.0,"5.06127646499611,3.9882893395850005,-0.7737560034783392,2.152826737571397,0.7134015124692211,0.0,3.1927948064539633,4.848918475005761,2.9084015152421228"
60 Segundos - Ao Vivo,Gusttavo Lima,O Embaixador - The Legacy (Ao Vivo),21.0,"5.705320642418494,3.886892152985382,-0.8688854049066982,0.33307885373746143,1.170532578711635,0.0,3.9373596032159552,3.9396895910688916,2.9084015152421228"
7 элемент,Vitas,Философия чуда,10.0,"4.664441163756055,3.862749965699759,-1.6022667205695127,0.504695702157068,1.2848153452722382,0.8070619475649056,4.013078057123954,4.5211050541325415,1.384953102496249"
7300 päivää (feat. Erika Vikman & Danny),"DJ Oku Luukkainen, HesaÄijä",7300 päivää (feat. Erika Vikman & Danny),8.0,"4.104968443974994,4.55321652206859,-1.8951214767108855,0.7037306269514048,1.416413682523842,0.0,2.9572262831846325,4.887140124928852,1.107962481996999"
8月の坂,んだほ & ぺけたん from Fischers,8月の坂,16.0,"4.196045398357958,4.075201213813245,-1.4238990928913395,0.3239394949458847,0.16553685580596492,0.0,3.18438164490863,4.534810445026497,2.215924963993998"
@Isa - Ao Vivo,Marcos & Belutti,Cumpra-se - EP 1 (Ao Vivo),21.0,"4.2545948690327196,4.591844021725588,-0.8116418406750985,0.5666402450777545,0.9973768718016296,0.0,3.840608245444623,5.541581258557238,2.9084015152421228"
A Bacalhau,Ana Bacalhau,Nome Próprio,21.0,"4.989716000838068,4.277995587012483,-1.427494099340667,0.35846596149184107,1.1982374918172356,9.143296747728993E-6,2.999292090911299,3.491003689690717,2.9084015152421228"
A Cada Passo,ÁTOA,A Cada Passo,21.0,"4.976705007354787,3.5537299684437778,-1.080990785417022,1.431832877347014,0.8172949366152242,0.0,2.0317785131979766,3.347916618856375,2.9084015152421228"
A Casa Chora - Ao Vivo,"Gabriel Diniz, Maiara & Maraisa",Gabriel Diniz Na Ilha (Ao Vivo),21.0,"3.7731881101513416,4.258681837183984,-0.6548442516928903,0.5808570254202071,0.8934834476556266,0.0,2.2210746479679746,4.175959370474856,2.9084015152421228"
A Cidade Dorme,"Splinter, Raze",A Cidade Dorme,21.0,"4.2545948690327196,3.9882893395850005,-0.7289566923405654,3.5135757132061474,1.1012702959476328,0.0,3.5882133990846254,3.171594846948396,2.9084015152421228"
