title,album,language_id
I Will Be There (feat. ChocQuibTown),I Will Be There (feat. ChocQuibTown),0.0
Una Noche Contigo,Todo Comenzó Bailando,1.0
Sin Contrato,"Pretty Boy, Dirty Boy",0.0
Como Le Digo,Soy Cordobes,1.0
Cheap Thrills,Cheap Thrills,0.0
Light It Up (feat. Nyla & Fuse ODG) - Remix,Peace Is The Mission: Extended,0.0
"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)",1.0
Cuando Pase El Temblor - Remasterizado 2007,Nada Personal (Remastered),1.0
Jamas,Jamas,1.0
Deja Que Te Bese,Deja Que Te Bese,1.0
Time of Our Lives,Globalization,0.0
Gyal You A Party Animal,Gyal You A Party Animal,0.0
Perfect Strangers,Jonas Blue: Electronic Nature - The Mix 2017,0.0
Ego,Soy,1.0
Se Parece Más A Ti,Separece A Ti,1.0
Persiana Americana,Agapornis - Volando Con Ritmo,1.0
Carnaval,PB.DB. The Mixtape,0.0
Quiero Que Sepas,Quiero Que Sepas,1.0
Adventure of a Lifetime,A Head Full of Dreams,0.0
Volaré,Vida Lejana,1.0
The Greatest,This Is Acting (Deluxe Version),0.0
Madrugada,Historias,1.0
What Do You Mean?,Purpose (Deluxe),0.0
En La Intimidad,En La Intimidad,1.0
Tus Ojos No Me Ven,De Bailadeta,1.0
Una Ráfaga de Amor,Lo mejor de Ráfaga,1.0
Sólo necesito,#Tocoparavos,1.0
Lean On (feat. MØ & DJ Snake),Peace Is The Mission,0.0
Sugar,V (Deluxe),1.0
No hay más nada,Cuestión de tiempo,1.0
