title,artist,album,language_id,scaled_vectorized_features_str
3 1 0 7 - 2 (feat. W/N & Nau),"W/N, Duongg",3 1 0 7 - 2 (feat. DuongG & Nau),-2.0,"4.8010565953305,2.0376006069066226,-2.6990202265720478,0.3706517732139433,2.9471101316082877,0.0056698655809939566,1.3250729433899848,4.2570757552568885,-0.2769906204992498"
3 Kartus - Acoustic,Mantas Bendžius,3 Kartus (Acoustic),-2.0,"3.3373198284614456,0.6856381189117071,-4.787995512588979,0.6763125505766747,3.1548969799002937,0.0,0.9464806738499891,3.390497489801715,-0.2769906204992498"
3 Rounds and a Sound,Blind Pilot,3 Rounds and a Sound,0.0,"3.1941989001453597,1.4195606123946611,-3.4119376593694595,0.384868553556396,2.870921620567885,0.006384983762380582,0.8371095737606571,4.0676763202821595,0.0"
3000 Días,Da Pawn,Verano en Coma,-2.0,"3.7471661231847806,1.8541199835358841,-2.517887209317469,0.2609794677150231,2.34106515742327,0.005363386360399688,1.211495262527986,3.938922368168975,-0.2769906204992498"
3107 3,"W/N, Duongg, Nau, titie","3107 3 (feat. Nâu, titie, Dươngg)",-2.0,"4.313144339707482,1.660982485250896,-3.878458880909116,0.5026647335367177,3.1929912354204952,0.015221801289515306,1.972886382380644,4.73948459046319,-0.2769906204992498"
39.28,Childish Gambino,3.15.20,-2.0,"2.8624185663217077,0.511814370455218,-3.8123660700330175,2.7519624805747576,2.798196223665683,0.0,0.7361516352166582,3.2753791810461306,-0.2769906204992498"
3:00 AM,Finding Hope,Our Love,-2.0,"3.5780232079021346,0.7097803061973306,-5.164365033937807,0.4102556613107756,1.9497332598066577,0.005210146750102555,0.145547694734265,2.859335126682566,-0.2769906204992498"
3WW,alt-J,RELAXER,-2.0,"4.124484934199915,0.6711528065403332,-4.176291338288019,0.5412531373233748,2.35145449983787,0.18388753235656075,0.6646397620813257,2.722002227597594,-0.2769906204992498"
3d,Auður,3d,-2.0,"4.300133346224202,1.149168114795678,-3.515363229527036,0.4986027962960169,1.5687907046046468,0.14098044147336325,0.9296543507593227,4.673294178461343,-0.2769906204992498"
3la 3eny,Ahmed Kamel,3la 3eny,-2.0,"2.9144625402548296,1.6223549855938988,-3.475265080669152,0.3604969301121914,2.8743847347060854,0.0,0.8791753814873232,4.9627464543387605,-0.2769906204992498"
3lach,Nessyou,Anxiety,0.0,"3.324308834978165,0.5794124948549637,-6.454419271331107,0.8377745558945295,3.061392898168891,1.33829259659497E-4,0.5720949850826601,2.432549951720177,0.0"
4 Deep In The Suburbs,KUDZAI,4 Deep In The Suburbs,0.0,"3.0185504881210736,2.317649979419855,-2.7728561282620823,2.1832912668766524,2.212929934309866,0.0,0.5889213081733267,2.962526606721274,0.0"
401,Quessswho,401,-2.0,"3.8317375808261036,2.1679684182489893,-1.9791893198336217,0.6884983622987769,2.5453888915770757,0.0,1.0895044201206543,3.2730775123463824,-0.2769906204992498"
4422,"Drake, Sampha",More Life,-2.0,"3.9618475156589086,1.105712177681556,-3.4180215164375523,0.33815627528833736,1.9324176891156577,0.21095986350905443,0.7992503468066575,3.9019213001321154,-0.2769906204992498"
"52赫茲我愛你 - From 52Hz, I Love You Soundtrack / 貝斯對話版",Zhong Yu Lin,"52Hz, I Love You (Dian Ying Yin Yue Yuan Chuang Ji)",-2.0,"3.8772760580175856,0.8836040546538197,-4.866809115516544,0.6174144605865138,2.7704913105600824,0.3192491881190291,1.312453201071985,4.315210326809618,-0.2769906204992498"
"52赫茲我愛你 - From 52hz, I Love You Soundtrack","Zhong Yu Lin, Juan Ying Zhuang","52Hz, I Love You (Dian Ying Yin Yue Yuan Chuang Ji)",-2.0,"4.8400895757803415,1.2215946766525487,-4.221643727341074,0.8682390851997851,1.3610038563126405,1.7469315573873272E-5,1.2157018433006526,2.161580772977101,-0.2769906204992498"
6 8 12,Khel Pangilinan,6 8 12,-2.0,"3.122638435987317,1.4581881120516589,-2.6509024479425873,0.3462801497697388,2.6181142884792776,5.107987009904465E-6,0.5636818235373269,4.005984624375273,-0.2769906204992498"
6.18.18,Bil Cutie,6.18.18,-2.0,"2.7062866445223417,0.3500617156415406,-4.633410235267895,0.591011868521959,2.7739544246982826,7.406581164361475E-5,0.25618076905539705,4.308444815783085,-0.2769906204992498"
6/10,dodie,6/10,-2.0,"1.704440146309744,0.7870353055113258,-4.410519835409589,0.4386892219956809,3.2761059747372974,0.4842371685389433,0.16573928244306477,2.667878139385335,-0.2769906204992498"
65 Roses,Martin Luke Brown,65 Roses,-2.0,"2.7062866445223417,0.5842409323120885,-3.635657676100688,0.509773123707944,3.092560925412692,3.544942984873699E-5,1.0306122893033216,3.082666738094491,-0.2769906204992498"
67-410,"Mata, Pedro",Młody Matczak,9.0,"3.1941989001453597,1.8203209213360112,-3.403364951682602,1.350594132532999,2.489979065365874,0.0515906688000351,0.5636818235373269,4.014493823810706,1.246457792246624"
69 Corvette (feat. Mark O Connor),"Jonathan Wilson, Mark OConnor",Dixie Blur,-2.0,"2.2248798856409637,1.5788990484797765,-2.9985119176967947,0.3097227146034321,2.3653069563906706,2.0176548689122638,1.4975427550693161,3.176965407247809,-0.2769906204992498"
7 April,Jonathan Johansson,Scirocco,6.0,"3.4674297632942506,2.4093902911052245,-3.367138348231686,0.6062441331745868,2.3064340160412686,0.02370105972595672,0.6562266005359925,5.017777260523647,0.8309718614977493"
7 Maanden,"Maan, Tony Junior",Onverstaanbaar,-2.0,"4.5148147386983295,2.563900289733215,-2.625460863839654,0.9413539555323986,2.992130615404889,0.8070619475649056,1.2030821009826527,3.350009044947055,-0.2769906204992498"
7+3,Ultimo,7+3,-2.0,"3.2397373773368416,1.660982485250896,-2.437967450559342,0.4082246926904253,2.7739544246982826,0.0,1.5858809512953151,5.216801855515505,-0.2769906204992498"
77 Magical Affirmation & 7 Mystic Words,DON Kilam,77 Magical Affirmation & 7 Mystic Words,0.0,"3.2592538675617626,0.5504418701122156,-4.905524569586225,4.305653475142794,3.196454349558695,0.016498798041991423,0.8875885430326564,2.855185148269384,0.0"
8 (circle),Bon Iver,"22, A Million",-2.0,"2.6282206836226587,1.9700024825068767,-2.978324573789032,0.35440402425114037,3.1548969799002937,0.26152893490710866,0.3041357898637965,4.359360517322968,-0.2769906204992498"
"80 Millionen - Aus Sing meinen Song, Vol. 7",MoTrip,"80 Millionen (Aus Sing meinen Song, Vol. 7)",4.0,"2.6021986966560977,1.9603456075926275,-3.052713553394348,0.7037306269514048,1.953196373944858,2.15046253116978E-5,1.5143690781599826,3.4633139177573837,0.5539812409984995"
80486,Julia Wu,80486,-2.0,"3.272264861045043,0.7773784305970765,-3.8040699013038,0.2894130283999284,2.34799138569967,0.0,0.5047896927199942,2.78875061989029,-0.2769906204992498"
9 Crimes,Damien Rice,9,-2.0,"2.2509018726075243,0.6711528065403332,-4.2382360647995085,0.32597046356623505,3.161823208176694,3.948473958656151E-4,0.4879633696293278,4.748691265262184,-0.2769906204992498"
90 Minutos,India Martinez,Trece Verdades,1.0,"3.532484730710653,1.52095779899428,-1.5881632337298435,0.4082246926904253,2.0467004556762607,0.0,0.8202832506699906,2.685663761156116,0.1384953102496249"
90 Minutos - Operación Triunfo 2018,Julia Medina,90 Minutos (Operación Triunfo 2018),1.0,"3.45441876981097,1.149168114795678,-3.0134450214093857,0.47423117285181243,2.8743847347060854,0.0,0.8244898314426572,3.9207531349482365,0.1384953102496249"
99 Luftballons,Kaleida,99 Luftballons,-2.0,"3.9878695026254696,1.5064724866229058,-2.596700812245034,0.36963628890376815,2.6735241146904793,0.0011952689603176448,0.58471472740066,4.663843387285104,-0.2769906204992498"
</3</3</3</3,Abudu,Gaisras,-2.0,"3.662594665543457,1.1733103020813016,-5.852117421589925,0.4315808318244546,2.4172536684636716,0.07866299995252876,0.8202832506699906,4.199708406604075,-0.2769906204992498"
A Boat Beneath a Sunny Sky,AWKWARD i,A Boat Beneath a Sunny Sky,0.0,"1.6849236560848233,1.298849675966544,-2.2045685703106934,0.33917175959851253,3.2380117192170963,4.1119295429730947E-4,0.7151187313533252,7.096707202918884,0.0"
A Case of You,Joni Mitchell,Blue,-2.0,"4.508309241956689,0.9705159288820644,-2.7385652975146506,0.2924594813304539,3.1168027243800926,0.0,2.8562683446406343,3.5165312879970148,-0.2769906204992498"
A Cau Dorella,Meïa,Lhome de la Guitarra. Tribut a Josep Bastons,-2.0,"2.3745063106986892,1.279535926138045,-2.008225910385882,0.3452646654595637,3.1168027243800926,6.6403831128758055E-6,1.2367347471639858,2.6592294448771905,-0.2769906204992498"
A Change Is Gonna Come,Sam Cooke,Aint That Good News,0.0,"1.3791653092277318,1.8492915460787593,-2.785023842398268,0.35237305563078997,2.5038315219186744,0.0,1.9013745092453116,6.060712171654976,0.0"
A Christmas Carol,Jose Mari Chan,Christmas in Our Hearts,-2.0,"2.4200447878901707,1.5788990484797765,-3.6685658120599167,0.3158156204644832,2.621577402617478,1.3842644796841102E-4,1.5690546282046487,1.7624504961798675,-0.2769906204992498"
A Conversation,Ben Whishaw,Mary Poppins Returns (Original Motion Picture Soundtrack),0.0,"2.5111217422731342,0.608383119597712,-6.066435113761375,1.1576521135997135,3.1133396102418924,0.0,0.5678884043099935,2.8086286677517514,0.0"
A Day With You,Amiel Sol,A Day With You,0.0,"3.330814331719805,0.3379906219987289,-6.009468088487416,0.3950233966581478,3.1826018930058946,0.9347616228125172,1.4428572050246502,4.9463557832950995,0.0"
A Desalambrar,Daniel Viglietti,Trabajo de Hormiga,1.0,"1.7369676300179453,2.8198074749608235,-2.0176282349456622,0.6042131645542363,3.0198355285104896,0.009909494799214663,2.2294878095133077,2.889779926301962,0.1384953102496249"
A Dialogue Between Me & My Ghost,何欣穗,she & me,0.0,"3.792704600376262,1.873433733364383,-2.190465083471024,0.2559020461641472,2.053626683952661,0.024211858426947168,0.8791753814873232,3.557228975460743,0.0"
A Different Corner,George Michael,Ladies And Gentlemen... The Best Of George Michael,0.0,"1.7109456430513843,1.3809331127376636,-2.8594128220035833,0.34018724390868776,2.967888816437488,0.0458697233489421,0.6351936966726593,3.452537923390381,0.0"
A Different Corner - Live,George Michael,Symphonica (Deluxe Version),-2.0,"1.8996050485589513,1.2843643635951698,-4.209199474247248,0.3097227146034321,2.9436470174700875,0.016294478561595244,1.400791397297984,3.4948398041902973,-0.2769906204992498"
A Don Hala,"Tuna, Yll Limani",Fortuna,-2.0,"2.9404845272213906,2.1245124811348672,-2.180509680995963,0.29855238719150506,2.8466798216004845,1.9563590247934103E-4,1.8382757976553123,5.375442626957236,-0.2769906204992498"
A Dos Metros de Ti,Dani Ilabel,A Dos Metros de Ti,-2.0,"3.896792548242506,1.1105406151386805,-2.4269058922537186,0.30566077736273134,2.909015876088086,0.0,1.7204915360206468,2.8987773584918863,-0.2769906204992498"
A Drop In The Ocean,Ron Pope,The Bedroom Demos,0.0,"2.907957043513189,1.8975759206500065,-2.3920619835910055,0.38588403786657116,2.718544598487081,0.0,2.3725115557839724,2.550632530770892,0.0"
A Ella Quien la Vio Llorar Fui Yo,Los 4,Privilegio,1.0,"3.402374795877848,2.7039249759898314,-4.054614196926165,0.8174648696910257,2.35145449983787,2.4314018167145255E-4,2.822615698459301,3.5834540491306006,0.1384953102496249"
A Fool Getting Older,"Full Crate, Luke Burr",Still Growing,0.0,"3.922814535209067,0.7242656185687047,-3.387602231097089,0.7016996583310543,2.867458506429685,6.793622723172939E-6,0.6436068582179926,3.9782948524419397,0.0"
A HAPPY NEW YEAR,Yumi Matsutoya,昨晩お会いしましょう,0.0,"3.0575834685709147,1.0863984278530572,-3.8344891866442636,0.31378465184413284,2.999056843681289,4.0863896079235725E-4,1.531195401250649,5.176906264719871,0.0"
A Hole In The Earth,Daughter,Music From Before The Storm,0.0,"2.803869095646945,2.7280671632754543,-2.261259056627012,0.3239394949458847,3.071782240583491,0.7406581164361474,0.7487713775346581,2.9645841590437763,0.0"
A La Mar,Vicente Garcia,A la Mar,-2.0,"4.1895399016163175,1.7768649842218889,-2.6130166107458277,0.37572919476481925,3.1999174636968952,0.0037850183743392087,1.1736360355739865,4.017004735119522,-0.2769906204992498"
