_c0,title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo
20665155,"Come On, Come Over",Jaco Pastorius,Jaco Pastorius,0.689,0.72,-10.796,0.045,0.561,0.000701,0.96,109.517
15807057,Come Over (feat. Anne-Marie & Tion Wayne),Rudimental,Come Over (feat. Anne-Marie & Tion Wayne),0.797,0.672,-6.135,0.0477,0.0442,0.0027,0.561,131.978
23701116,Come Together - Remastered,The Beatles,Abbey Road (Remastered),0.533,0.376,-11.913,0.0393,0.0302,0.248,0.187,165.007
10959790,Come Uccidere Un Usignolo,Ernia,Come Uccidere Un Usignolo,0.549,0.471,-10.002,0.489,0.488,6.43e-05,0.366,94.123
13689343,Come and Get It - Optical 2 Radio Mix,Tino Singh,Come and Get It,0.635,0.921,-7.098,0.0394,0.0614,0.00139,0.731,139.889
3748922,Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,0.731,0.804,-7.621,0.0473,0.172,0.00028,0.957,107.383
3756979,Come fossimo cowboy,Emis Killa,Supereroe,0.639,0.576,-7.256,0.108,0.0835,0.0,0.128,100.269
9138711,Come in Down,No More Vips Allowed,Come in Down,0.537,0.778,-4.976,0.0431,0.00389,0.204,0.197,156.078
6588785,Come in Pagodas,Indifferent2527,Basket Boat,0.666,0.439,-10.757,0.0315,0.808,0.0,0.907,134.063
12338658,Come out to LA,DON BROCO,Come out to LA,0.531,0.882,-4.883,0.121,0.131,0.0,0.477,105.634
14158245,Come with Me - Radio Mix,Nora En Pure,Come With Me (Remixes),0.683,0.757,-6.546,0.0272,0.00388,0.712,0.277,119.973
6555347,Come with me now,Joe Kala,Come with me now,0.631,0.546,-6.987,0.141,0.0184,0.0368,0.69,180.075
23402528,"Come, Come, Come - Radio Edit","DJDURAN, Katty S.","Come, Come, Come (Radio Edit)",0.775,0.817,-3.647,0.0638,0.265,0.0,0.617,104.026
22703513,"Come, come",Sissi,"Come, come",0.844,0.756,-2.687,0.0692,0.133,2.19e-06,0.777,110.056
498944,Comerte a Besos,"Pijama Party, Cande Buasso",Comerte a Besos,0.808,0.59,-5.699,0.0455,0.0319,0.0,0.745,110.029
14327303,Comfort Zone / Robot,DRAMAS,Nothing Is Permanent,0.636,0.725,-8.612,0.0464,0.165,0.0285,0.587,94.972
13238590,Comfortable - JYYE Remix,Rachel Costanzo,Comfortable,0.741,0.761,-5.566,0.354,0.245,1.56e-06,0.409,126.053
10791997,Coming Back,K Chrys,Coming Back,0.433,0.691,-8.224,0.239,0.0292,0.0,0.248,169.9
20598631,Coming Down (feat. Marigo Bay) - Robin Schulz Remix,Wave Wave,Coming Down (feat. Marigo Bay) [Robin Schulz Remix],0.674,0.758,-7.835,0.0718,0.0274,4.22e-05,0.225,122.045
23260388,Coming Home (ASOT 806) - Club Mix,"Dash Berlin, Bo Bruce",A State Of Trance Episode 806,0.495,0.522,-10.652,0.0322,0.00127,5.35e-06,0.143,130.04
22118656,Coming Undone,Korn,See You On The Other Side,0.697,0.659,-4.227,0.056,0.000917,0.000185,0.572,150.081
21084894,Coming Up (feat. Victor Crone),"Tungevaag, Raaban",Coming Up (feat. Victor Crone),0.659,0.86,-3.164,0.0411,0.00548,0.0049,0.275,114.975
13022374,Coming for You,Jenn Champion,Coming for You,0.532,0.681,-6.586,0.0346,0.339,0.00869,0.279,156.0
12957904,Coming up for Air,Signals In Smoke,Coming up for Air,0.47,0.305,-11.634,0.0292,0.397,0.0127,0.0798,100.483
12356080,Common People,Pulp,Different Class / Deluxe Edition,0.319,0.839,-7.341,0.0404,0.00596,7.99e-05,0.538,144.938
23375912,Como Duele,Santaferia,Cumbia Casera,0.672,0.88,-3.621,0.0261,0.0979,2.28e-06,0.671,97.96
15801531,Como Estrellas,LA YOUNG,Como Estrellas,0.446,0.496,-6.051,0.0857,0.765,0.0,0.763,170.145
3825598,Como Eu,Bárbara Bandeira,Como Eu,0.633,0.473,-9.736,0.0312,0.845,0.0,0.416,129.928
914353,Como Le Digo,KHEA,Como Le Digo,0.69,0.385,-8.444,0.0817,0.181,0.0,0.19,129.958
23310541,Como Me Mira,Fonseca,Fonseca (Acoustic Versions),0.476,0.818,-8.267,0.204,0.316,0.0,0.625,83.478
930959,Como Panas,Bryant Myers,Como Panas,0.638,0.61,-5.929,0.213,0.404,0.0,0.379,157.956
23722058,Como Quisiera,LaNuestra,El Canto del Lobo,0.699,0.593,-9.685,0.0379,0.342,0.000176,0.691,135.025
5972340,Como Se Perdona,You Salsa,Como Se Perdona,0.582,0.826,-5.5,0.0565,0.371,0.00312,0.571,175.874
15840576,Como Si No Importara,"Emilia, Duki",como si no importara,0.843,0.534,-6.658,0.142,0.467,0.0,0.528,94.984
25241454,Como Te Atreves a Volver,Galilea,Los Reyes de la Noche,0.715,0.622,-6.428,0.0307,0.397,0.0,0.579,131.88
21114069,Como Te Voy a Olvidar,Migrantes,Suena Migrantes!,0.796,0.835,-4.285,0.0486,0.336,0.0,0.849,106.99
11773046,Como Tú Ninguna,"Lafame, KAROL G",Como Tú Ninguna,0.627,0.803,-5.212,0.0336,0.563,0.00238,0.858,94.975
18578975,Como Un Animal,No Te Va Gustar,Luz,0.642,0.64,-6.882,0.0294,0.363,0.00234,0.791,130.024
13038904,Como Una 40,"Joniel, Bryant Myers, Baby Rasta, EZ El Ezeta",Como Una 40,0.595,0.819,-4.032,0.314,0.784,0.0,0.542,130.245
23791344,Como dos extraños,Andrés Calamaro,Tinta roja,0.711,0.312,-10.076,0.0521,0.88,0.0,0.675,114.295
838411,Como el Agua y el Aceite,Melendi,Ahora,0.744,0.33,-13.437,0.046,0.87,2.48e-06,0.318,127.539
20350142,Como no te voy a querer,"JdM, Galvan Real, Dr. López",Como no te voy a querer,0.747,0.903,-4.477,0.0568,0.303,5.32e-06,0.849,95.013
14304570,Como un Sueño Tranquilo,Claudio Taddei,Intuitivo,0.752,0.805,-9.752,0.0468,0.472,0.00253,0.666,99.002
496855,Como É Que Faz,"Rob Nunes, Jerry Smith",Como É Que Faz,0.771,0.719,-3.899,0.0459,0.53,0.0,0.904,125.913
598795,Como é Que Faz (feat. Jerry Smith),Rob Nunes,Como é Que Faz (feat. Jerry Smith),0.771,0.719,-3.899,0.0459,0.53,0.0,0.904,125.913
2139960,Compañera,La Nueva Luna,Los Más Queridos,0.603,0.815,-3.558,0.0368,0.459,0.000862,0.726,94.912
13553843,Complete (Lucky Rose Remix),Osborne,Complete (Lucky Rose Remix),0.715,0.686,-5.926,0.0553,0.0145,0.0,0.414,120.053
6453269,Complicated - Faustix Remix,"Alexander Oscar, SVEA",Complicated (Faustix Remix),0.789,0.728,-7.869,0.129,0.0473,1.33e-05,0.645,124.995
15837384,Complicated - VIZE Remix,Miss Li,Complicated (VIZE Remix),0.917,0.566,-6.445,0.122,0.0158,6.45e-06,0.892,119.993
9426578,Compromise,Molly Kate Kestner,Compromise,0.711,0.689,-5.41,0.112,0.0998,0.0,0.689,99.01
19325039,Compta amb Mi,Txarango,Som Riu,0.598,0.409,-11.183,0.0301,0.279,0.0,0.448,76.996
498423,"Comptine d'un autre été, l'après-midi",Yann Tiersen,Amelie from Montmartre (Original SoundTrack),0.484,0.192,-15.378,0.0465,0.991,0.908,0.0559,100.084
20048461,Compárame Si Quieres,Claudio Vallejo,Disco de Oro del Sentimental de América (Vol. 1),0.619,0.436,-9.025,0.0327,0.458,0.0,0.659,90.855
487502,Comunisti col Rolex,"J-AX, Fedez",Comunisti col Rolex,0.701,0.697,-6.153,0.17,0.267,0.0,0.912,79.934
15693724,Con Agua Fría,Silvestre Dangond,Las Locuras Mías,0.86,0.888,-2.952,0.0944,0.4,0.0,0.954,100.02
10255504,Con Bướm Xuân,Hồ Quang Hiếu,Tuyển Tập Bài Hát Hit Của Hồ Quang Hiếu,0.797,0.87,-3.911,0.0527,0.407,0.00031,0.955,134.917
