title,artist,album,language_id,scaled_vectorized_features_str
Africa (with Dick Rivers) - Acoustic,Julien Doré,Vous & moi,5.0,"2.4916052520482137,1.8637768584501335,-3.7089404998754416,0.43361180044480496,3.2103068061114954,0.2094274674060831,1.5648480474319821,7.328199276084461,0.6924765512481245"
Afsakið þetta smáræði,Baggalútur,Jólaland,21.0,"2.699781147780701,2.1969390429917377,-2.7214198821409346,0.3280014321865855,1.9705119446358583,0.0038054503223788265,2.5491879482359705,5.734886555567903,2.9084015152421228"
Agaw,Dionela,Agaw,25.0,"3.591034201385415,1.0188003034533113,-2.4957640927062226,0.47829311009251324,2.9782781588520884,0.0,1.3503124280259846,4.406788842045051,3.462382756240622"
Agora Eu Quero Ir,ANAVITÓRIA,ANAVITÓRIA,21.0,"4.768529111622299,1.487158736794407,-2.3472626724532315,0.34018724390868776,1.644979215645049,1.9921149338627414E-4,1.3418992664806513,4.462273007216252,2.9084015152421228"
Agora eu sei,UM44K,Tudo que sonhamos,21.0,"3.8317375808261036,1.936203420307004,-2.4509647815684485,0.271134310816775,2.6977659136578804,0.0,1.4596835281153164,4.287171817194504,2.9084015152421228"
Ah Be Kadın,Ömer Başçı,Ah Be Kadın,14.0,"3.708133142734939,1.149168114795678,-4.2282806623244475,0.38893049079709674,2.451884809845673,5.772025321192046E-6,0.7445647967619914,2.893860157178788,1.9389343434947484"
Ah Bu Ben,Mazhar Alanson,Türk Lokumuyla Tatlı Rüyalar,14.0,"3.6691001622850976,2.525272790076217,-2.23637055043936,0.3087072302932569,1.6622947863360493,0.0,0.9002082853506563,4.536798249812644,1.9389343434947484"
Ah Bu Şarkıların Gözü Kör Olsun,"Cem Adrian, Hande Mehan",Ah Bu Şarkıların Gözü Kör Olsun,14.0,"3.376352808911287,1.4823302993372822,-2.6810451943254106,0.2924594813304539,3.123728952656493,0.0,1.6700125667486476,3.2872013884584734,1.9389343434947484"
Ah Canım Sevgilim - Demo,Rei 6,Dibe İniyorum (Demo),14.0,"3.0640889653125547,1.0960553027673066,-3.199002661986214,0.5473460431844259,3.02329864264869,0.0,1.2619742317999856,4.0757321607312775,1.9389343434947484"
Aham - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),21.0,"2.563165716206256,2.597699351933088,-1.9783597029606999,0.37572919476481925,2.6977659136578804,0.0,2.1916285825593085,3.208491293680723,2.9084015152421228"
