title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo,language_id
Hoy,Agapornis,De Bailadeta,0.709,0.819,-5.82,0.0559,0.127,0.0,0.897,104.969,1.0
Hoy Acá en el Baile (Cara de Gitana) - Versión el Pepo,El Pepo,Libre,0.766,0.548,-4.756,0.0404,0.0333,0.0,0.791,95.983,1.0
Hymn for the Weekend - Seeb Remix,Coldplay,A Head Full of Dreams Tour Edition,0.564,0.849,-3.516,0.0517,0.00868,4.68E-6,0.427,102.028,0.0
I Feel It Coming,"The Weeknd, Daft Punk",Starboy,0.773,0.819,-5.946,0.118,0.426,0.0,0.585,92.99,0.0
I Will Be There (feat. ChocQuibTown),"Agapornis, Come & C",I Will Be There (feat. ChocQuibTown),0.7,0.809,-2.912,0.0301,0.0277,0.0,0.691,104.032,0.0
In the Name of Love,"Martin Garrix, Bebe Rexha",The Martin Garrix Collection,0.49,0.485,-6.237,0.0406,0.0592,0.0,0.196,133.889,0.0
Jamas,RC BAND,Jamas,0.709,0.637,-6.261,0.0434,0.443,0.0,0.899,98.055,1.0
Just Hold On,"Steve Aoki, Louis Tomlinson",Just Hold On,0.647,0.932,-3.515,0.0824,0.00383,1.5E-6,0.374,114.991,0.0
La Bicicleta,"Carlos Vives, Shakira",El Dorado,0.736,0.964,-2.147,0.129,0.198,2.32E-6,0.953,179.935,1.0
La Bicicleta (feat. Maluma) - Remix,"Carlos Vives, Shakira",La Bicicleta (feat. Maluma) [Remix],0.598,0.917,-3.455,0.159,0.117,0.0,0.575,180.049,1.0
La Cumbita,Tambó Tambó,Grandes Exitos,0.84,0.65,-7.556,0.0678,0.112,7.19E-5,0.747,92.698,1.0
La Gozadera (feat. Marc Anthony),Gente De Zona,Visualízate,0.616,0.989,-1.698,0.0483,0.166,0.0,0.902,95.036,1.0
La Llave,Agapornis,Sigue Y Sigue,0.825,0.792,-6.012,0.0666,0.0225,0.0,0.914,119.994,1.0
La Mordidita (feat. Yotuel),Ricky Martin,A Quien Quiera Escuchar (Deluxe Edition),0.725,0.903,-2.955,0.0658,0.0344,0.0,0.946,142.006,1.0
La Noche No Es para Dormir,Mano Arriba,La Noche No Es para Dormir - Single,0.549,0.798,-4.185,0.0705,0.126,0.0,0.905,100.054,1.0
La Ventanita,Grupo Sombras,Boquita de Caramelo,0.662,0.813,-9.044,0.0425,0.278,5.63E-4,0.96,100.855,1.0
Le Hace Falta un Beso,Agapornis,De Bailadeta,0.753,0.811,-5.724,0.0697,0.117,0.0,0.961,106.014,1.0
Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.274,98.007,0.0
Let Me Love You,"DJ Snake, Justin Bieber",Encore,0.476,0.718,-5.309,0.0576,0.0784,1.02E-5,0.142,199.864,0.0
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Peace Is The Mission: Extended,0.746,0.877,-3.782,0.0666,0.0375,8.33E-4,0.751,107.985,0.0
Linda,Marka Akme,Linda,0.812,0.751,-4.855,0.0473,0.139,0.0,0.904,87.985,1.0
Llamame Mas Temprano,Mano Arriba,Llamame Mas Temprano / Hicimos un Pacto - Single,0.828,0.849,-4.43,0.0749,0.162,0.0,0.966,100.014,1.0
Llegaste tú (feat. Reykon),Sofía Reyes,Louder!.,0.698,0.868,-3.016,0.0855,0.259,1.23E-6,0.485,102.989,1.0
Lo Intentamos,Marama,Lo Intentamos,0.778,0.86,-4.256,0.0672,0.169,0.0,0.707,112.093,1.0
Locuras contigo,Rombai,De Fiesta,0.723,0.774,-3.939,0.0403,0.179,0.0,0.771,109.1,1.0
Loquita,Marama,Todo Comenzó Bailando,0.698,0.694,-4.621,0.0419,0.284,0.0,0.926,144.018,1.0
Love Yourself,Justin Bieber,Purpose (Deluxe),0.609,0.378,-9.828,0.438,0.835,0.0,0.515,100.418,0.0
Madrugada,La Beriso,Historias,0.637,0.455,-4.254,0.0308,0.165,0.0,0.619,147.233,1.0
Manicomio,Cosculluela,Blanco Perla,0.744,0.754,-3.829,0.24,0.0213,1.33E-6,0.841,180.039,1.0
Me Ama Me Odia,"Ozuna, Cosculluela, Revol",Me Ama Me Odia,0.737,0.699,-5.804,0.15,0.222,1.52E-5,0.42,135.998,1.0
Me Estoy Enamorando,Agapornis,De Bailadeta,0.727,0.906,-4.926,0.0393,0.0687,0.0,0.818,106.992,1.0
Me llamas (feat. Maluma) - Remix,Piso 21,Me Llamas (feat. Maluma) [Remix],0.76,0.838,-3.828,0.0529,0.547,1.3E-6,0.745,93.05,1.0
